"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1501_C01_001E","Total!!Estimate!!Population 18 to 24 years"
"S1501_C01_001M","Total!!Margin of Error!!Population 18 to 24 years"
"S1501_C01_001MA","Annotation of Total!!Margin of Error!!Population 18 to 24 years"
"S1501_C01_001EA","Annotation of Total!!Estimate!!Population 18 to 24 years"
"S1501_C02_001E","Male!!Estimate!!Population 18 to 24 years"
"S1501_C02_001EA","Annotation of Male!!Estimate!!Population 18 to 24 years"
"S1501_C02_001M","Male!!Margin of Error!!Population 18 to 24 years"
"S1501_C02_001MA","Annotation of Male!!Margin of Error!!Population 18 to 24 years"
"S1501_C03_001E","Female!!Estimate!!Population 18 to 24 years"
"S1501_C03_001EA","Annotation of Female!!Estimate!!Population 18 to 24 years"
"S1501_C03_001M","Female!!Margin of Error!!Population 18 to 24 years"
"S1501_C03_001MA","Annotation of Female!!Margin of Error!!Population 18 to 24 years"
"S1501_C01_002E","Total!!Estimate!!Less than high school graduate"
"S1501_C01_002EA","Annotation of Total!!Estimate!!Less than high school graduate"
"S1501_C01_002M","Total!!Margin of Error!!Less than high school graduate"
"S1501_C01_002MA","Annotation of Total!!Margin of Error!!Less than high school graduate"
"S1501_C02_002E","Male!!Estimate!!Less than high school graduate"
"S1501_C02_002M","Male!!Margin of Error!!Less than high school graduate"
"S1501_C02_002MA","Annotation of Male!!Margin of Error!!Less than high school graduate"
"S1501_C02_002EA","Annotation of Male!!Estimate!!Less than high school graduate"
"S1501_C03_002E","Female!!Estimate!!Less than high school graduate"
"S1501_C03_002M","Female!!Margin of Error!!Less than high school graduate"
"S1501_C03_002MA","Annotation of Female!!Margin of Error!!Less than high school graduate"
"S1501_C03_002EA","Annotation of Female!!Estimate!!Less than high school graduate"
"S1501_C01_003E","Total!!Estimate!!High school graduate (includes equivalency)"
"S1501_C01_003M","Total!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C01_003MA","Annotation of Total!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C01_003EA","Annotation of Total!!Estimate!!High school graduate (includes equivalency)"
"S1501_C02_003E","Male!!Estimate!!High school graduate (includes equivalency)"
"S1501_C02_003M","Male!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C02_003MA","Annotation of Male!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C02_003EA","Annotation of Male!!Estimate!!High school graduate (includes equivalency)"
"S1501_C03_003E","Female!!Estimate!!High school graduate (includes equivalency)"
"S1501_C03_003EA","Annotation of Female!!Estimate!!High school graduate (includes equivalency)"
"S1501_C03_003M","Female!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C03_003MA","Annotation of Female!!Margin of Error!!High school graduate (includes equivalency)"
"S1501_C01_004E","Total!!Estimate!!Some college or associate's degree"
"S1501_C01_004M","Total!!Margin of Error!!Some college or associate's degree"
"S1501_C01_004MA","Annotation of Total!!Margin of Error!!Some college or associate's degree"
"S1501_C01_004EA","Annotation of Total!!Estimate!!Some college or associate's degree"
"S1501_C02_004E","Male!!Estimate!!Some college or associate's degree"
"S1501_C02_004M","Male!!Margin of Error!!Some college or associate's degree"
"S1501_C02_004MA","Annotation of Male!!Margin of Error!!Some college or associate's degree"
"S1501_C02_004EA","Annotation of Male!!Estimate!!Some college or associate's degree"
"S1501_C03_004E","Female!!Estimate!!Some college or associate's degree"
"S1501_C03_004M","Female!!Margin of Error!!Some college or associate's degree"
"S1501_C03_004MA","Annotation of Female!!Margin of Error!!Some college or associate's degree"
"S1501_C03_004EA","Annotation of Female!!Estimate!!Some college or associate's degree"
"S1501_C01_005E","Total!!Estimate!!Bachelor's degree or higher"
"S1501_C01_005M","Total!!Margin of Error!!Bachelor's degree or higher"
"S1501_C01_005MA","Annotation of Total!!Margin of Error!!Bachelor's degree or higher"
"S1501_C01_005EA","Annotation of Total!!Estimate!!Bachelor's degree or higher"
"S1501_C02_005E","Male!!Estimate!!Bachelor's degree or higher"
"S1501_C02_005M","Male!!Margin of Error!!Bachelor's degree or higher"
"S1501_C02_005MA","Annotation of Male!!Margin of Error!!Bachelor's degree or higher"
"S1501_C02_005EA","Annotation of Male!!Estimate!!Bachelor's degree or higher"
