"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2701_C01_001E","Total!!Estimate!!Total civilian noninstitutionalized population"
"S2701_C01_001EA","Annotation of Total!!Estimate!!Total civilian noninstitutionalized population"
"S2701_C01_001M","Total!!Margin of Error!!Total civilian noninstitutionalized population"
"S2701_C01_001MA","Annotation of Total!!Margin of Error!!Total civilian noninstitutionalized population"
"S2701_C02_001E","Number Uninsured!!Estimate!!Total civilian noninstitutionalized population"
"S2701_C02_001EA","Annotation of Number Uninsured!!Estimate!!Total civilian noninstitutionalized population"
"S2701_C02_001M","Number Uninsured!!Margin of Error!!Total civilian noninstitutionalized population"
"S2701_C02_001MA","Annotation of Number Uninsured!!Margin of Error!!Total civilian noninstitutionalized population"
"S2701_C03_001E","Percent Uninsured!!Estimate!!Total civilian noninstitutionalized population"
"S2701_C03_001M","Percent Uninsured!!Margin of Error!!Total civilian noninstitutionalized population"
"S2701_C03_001MA","Annotation of Percent Uninsured!!Margin of Error!!Total civilian noninstitutionalized population"
"S2701_C03_001EA","Annotation of Percent Uninsured!!Estimate!!Total civilian noninstitutionalized population"
"S2701_C04_001E","Number Insured by  Coverage Type!!Estimate!!Total civilian noninstitutionalized population"
"S2701_C04_001M","Number Insured by  Coverage Type!!Margin of Error!!Total civilian noninstitutionalized population"
"S2701_C04_001MA","Annotation of Number Insured by  Coverage Type!!Margin of Error!!Total civilian noninstitutionalized population"
"S2701_C04_001EA","Annotation of Number Insured by  Coverage Type!!Estimate!!Total civilian noninstitutionalized population"
"S2701_C05_001E","Percent Insured by  Coverage Type!!Estimate!!Total civilian noninstitutionalized population"
"S2701_C05_001EA","Annotation of Percent Insured by  Coverage Type!!Estimate!!Total civilian noninstitutionalized population"
"S2701_C05_001M","Percent Insured by  Coverage Type!!Margin of Error!!Total civilian noninstitutionalized population"
"S2701_C05_001MA","Annotation of Percent Insured by  Coverage Type!!Margin of Error!!Total civilian noninstitutionalized population"
"S2701_C01_002E","Total!!Estimate!!AGE!!Under 18 years"
"S2701_C01_002M","Total!!Margin of Error!!AGE!!Under 18 years"
"S2701_C01_002MA","Annotation of Total!!Margin of Error!!AGE!!Under 18 years"
"S2701_C01_002EA","Annotation of Total!!Estimate!!AGE!!Under 18 years"
"S2701_C02_002E","Number Uninsured!!Estimate!!AGE!!Under 18 years"
"S2701_C02_002EA","Annotation of Number Uninsured!!Estimate!!AGE!!Under 18 years"
"S2701_C02_002M","Number Uninsured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C02_002MA","Annotation of Number Uninsured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C03_002E","Percent Uninsured!!Estimate!!AGE!!Under 18 years"
"S2701_C03_002EA","Annotation of Percent Uninsured!!Estimate!!AGE!!Under 18 years"
"S2701_C03_002M","Percent Uninsured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C03_002MA","Annotation of Percent Uninsured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C04_002E","Number Insured by  Coverage Type!!Estimate!!AGE!!Under 18 years"
"S2701_C04_002EA","Annotation of Number Insured by  Coverage Type!!Estimate!!AGE!!Under 18 years"
"S2701_C04_002M","Number Insured by  Coverage Type!!Margin of Error!!AGE!!Under 18 years"
"S2701_C04_002MA","Annotation of Number Insured by  Coverage Type!!Margin of Error!!AGE!!Under 18 years"
"S2701_C05_002E","Percent Insured by  Coverage Type!!Estimate!!AGE!!Under 18 years"
"S2701_C05_002EA","Annotation of Percent Insured by  Coverage Type!!Estimate!!AGE!!Under 18 years"
"S2701_C05_002M","Percent Insured by  Coverage Type!!Margin of Error!!AGE!!Under 18 years"
"S2701_C05_002MA","Annotation of Percent Insured by  Coverage Type!!Margin of Error!!AGE!!Under 18 years"
"S2701_C01_003E","Total!!Estimate!!AGE!!18 to 64 years"
"S2701_C01_003EA","Annotation of Total!!Estimate!!AGE!!18 to 64 years"
"S2701_C01_003M","Total!!Margin of Error!!AGE!!18 to 64 years"
"S2701_C01_003MA","Annotation of Total!!Margin of Error!!AGE!!18 to 64 years"
"S2701_C02_003E","Number Uninsured!!Estimate!!AGE!!18 to 64 years"
"S2701_C02_003EA","Annotation of Number Uninsured!!Estimate!!AGE!!18 to 64 years"
