"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1501_C01_001E","Total!!Estimate!!Population 18 to 24 years"
"S1501_C01_001EA","Annotation of Total!!Estimate!!Population 18 to 24 years"
"S1501_C01_001M","Total!!Margin of Error!!Population 18 to 24 years"
"S1501_C01_001MA","Annotation of Total!!Margin of Error!!Population 18 to 24 years"
"S1501_C02_001E","Percent!!Estimate!!Population 18 to 24 years"
"S1501_C02_001M","Percent!!Margin of Error!!Population 18 to 24 years"
"S1501_C02_001MA","Annotation of Percent!!Margin of Error!!Population 18 to 24 years"
"S1501_C02_001EA","Annotation of Percent!!Estimate!!Population 18 to 24 years"
"S1501_C03_001E","Males!!Estimate!!Population 18 to 24 years"
"S1501_C03_001M","Males!!Margin of Error!!Population 18 to 24 years"
"S1501_C03_001MA","Annotation of Males!!Margin of Error!!Population 18 to 24 years"
"S1501_C03_001EA","Annotation of Males!!Estimate!!Population 18 to 24 years"
"S1501_C04_001E","Percent Males!!Estimate!!Population 18 to 24 years"
"S1501_C04_001M","Percent Males!!Margin of Error!!Population 18 to 24 years"
"S1501_C04_001MA","Annotation of Percent Males!!Margin of Error!!Population 18 to 24 years"
"S1501_C04_001EA","Annotation of Percent Males!!Estimate!!Population 18 to 24 years"
"S1501_C05_001E","Females!!Estimate!!Population 18 to 24 years"
"S1501_C05_001M","Females!!Margin of Error!!Population 18 to 24 years"
"S1501_C05_001MA","Annotation of Females!!Margin of Error!!Population 18 to 24 years"
"S1501_C05_001EA","Annotation of Females!!Estimate!!Population 18 to 24 years"
"S1501_C06_001E","Percent Females!!Estimate!!Population 18 to 24 years"
"S1501_C06_001M","Percent Females!!Margin of Error!!Population 18 to 24 years"
"S1501_C06_001MA","Annotation of Percent Females!!Margin of Error!!Population 18 to 24 years"
"S1501_C06_001EA","Annotation of Percent Females!!Estimate!!Population 18 to 24 years"
"S1501_C01_002E","Total!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C01_002EA","Annotation of Total!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C01_002M","Total!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C01_002MA","Annotation of Total!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C02_002E","Percent!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C02_002M","Percent!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C02_002MA","Annotation of Percent!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C02_002EA","Annotation of Percent!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C03_002E","Males!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C03_002EA","Annotation of Males!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C03_002M","Males!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C03_002MA","Annotation of Males!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C04_002E","Percent Males!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C04_002EA","Annotation of Percent Males!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C04_002M","Percent Males!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C04_002MA","Annotation of Percent Males!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C05_002E","Females!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C05_002M","Females!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C05_002MA","Annotation of Females!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C05_002EA","Annotation of Females!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C06_002E","Percent Females!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C06_002M","Percent Females!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C06_002MA","Annotation of Percent Females!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C06_002EA","Annotation of Percent Females!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
