"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2701_C01_001E","Total!!Estimate!!Civilian noninstitutionalized population"
"S2701_C01_001EA","Annotation of Total!!Estimate!!Civilian noninstitutionalized population"
"S2701_C01_001M","Total!!Margin of Error!!Civilian noninstitutionalized population"
"S2701_C01_001MA","Annotation of Total!!Margin of Error!!Civilian noninstitutionalized population"
"S2701_C02_001E","Insured!!Estimate!!Civilian noninstitutionalized population"
"S2701_C02_001EA","Annotation of Insured!!Estimate!!Civilian noninstitutionalized population"
"S2701_C02_001M","Insured!!Margin of Error!!Civilian noninstitutionalized population"
"S2701_C02_001MA","Annotation of Insured!!Margin of Error!!Civilian noninstitutionalized population"
"S2701_C03_001E","Percent Insured!!Estimate!!Civilian noninstitutionalized population"
"S2701_C03_001M","Percent Insured!!Margin of Error!!Civilian noninstitutionalized population"
"S2701_C03_001MA","Annotation of Percent Insured!!Margin of Error!!Civilian noninstitutionalized population"
"S2701_C03_001EA","Annotation of Percent Insured!!Estimate!!Civilian noninstitutionalized population"
"S2701_C04_001E","Uninsured!!Estimate!!Civilian noninstitutionalized population"
"S2701_C04_001M","Uninsured!!Margin of Error!!Civilian noninstitutionalized population"
"S2701_C04_001MA","Annotation of Uninsured!!Margin of Error!!Civilian noninstitutionalized population"
"S2701_C04_001EA","Annotation of Uninsured!!Estimate!!Civilian noninstitutionalized population"
"S2701_C05_001E","Percent Uninsured!!Estimate!!Civilian noninstitutionalized population"
"S2701_C05_001M","Percent Uninsured!!Margin of Error!!Civilian noninstitutionalized population"
"S2701_C05_001MA","Annotation of Percent Uninsured!!Margin of Error!!Civilian noninstitutionalized population"
"S2701_C05_001EA","Annotation of Percent Uninsured!!Estimate!!Civilian noninstitutionalized population"
"S2701_C01_002E","Total!!Estimate!!AGE!!Under 18 years"
"S2701_C01_002EA","Annotation of Total!!Estimate!!AGE!!Under 18 years"
"S2701_C01_002M","Total!!Margin of Error!!AGE!!Under 18 years"
"S2701_C01_002MA","Annotation of Total!!Margin of Error!!AGE!!Under 18 years"
"S2701_C02_002E","Insured!!Estimate!!AGE!!Under 18 years"
"S2701_C02_002M","Insured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C02_002MA","Annotation of Insured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C02_002EA","Annotation of Insured!!Estimate!!AGE!!Under 18 years"
"S2701_C03_002E","Percent Insured!!Estimate!!AGE!!Under 18 years"
"S2701_C03_002M","Percent Insured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C03_002MA","Annotation of Percent Insured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C03_002EA","Annotation of Percent Insured!!Estimate!!AGE!!Under 18 years"
"S2701_C04_002E","Uninsured!!Estimate!!AGE!!Under 18 years"
"S2701_C04_002M","Uninsured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C04_002MA","Annotation of Uninsured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C04_002EA","Annotation of Uninsured!!Estimate!!AGE!!Under 18 years"
"S2701_C05_002E","Percent Uninsured!!Estimate!!AGE!!Under 18 years"
"S2701_C05_002EA","Annotation of Percent Uninsured!!Estimate!!AGE!!Under 18 years"
"S2701_C05_002M","Percent Uninsured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C05_002MA","Annotation of Percent Uninsured!!Margin of Error!!AGE!!Under 18 years"
"S2701_C01_003E","Total!!Estimate!!AGE!!Under 18 years!!Under 6 years"
"S2701_C01_003EA","Annotation of Total!!Estimate!!AGE!!Under 18 years!!Under 6 years"
"S2701_C01_003M","Total!!Margin of Error!!AGE!!Under 18 years!!Under 6 years"
"S2701_C01_003MA","Annotation of Total!!Margin of Error!!AGE!!Under 18 years!!Under 6 years"
"S2701_C02_003E","Insured!!Estimate!!AGE!!Under 18 years!!Under 6 years"
"S2701_C02_003M","Insured!!Margin of Error!!AGE!!Under 18 years!!Under 6 years"
"S2701_C02_003MA","Annotation of Insured!!Margin of Error!!AGE!!Under 18 years!!Under 6 years"
"S2701_C02_003EA","Annotation of Insured!!Estimate!!AGE!!Under 18 years!!Under 6 years"
"S2701_C03_003E","Percent Insured!!Estimate!!AGE!!Under 18 years!!Under 6 years"
